iter	Passed	Remaining
174	2025	9550
175	2036	9535
176	2046	9517
177	2056	9496
178	2065	9474
179	2075	9454
180	2085	9437
181	2097	9425
182	2107	9411
183	2118	9393
184	2127	9374
185	2138	9360
186	2149	9345
187	2159	9326
188	2169	9309
189	2178	9288
190	2188	9271
191	2199	9255
192	2208	9236
193	2219	9219
194	2228	9198
195	2238	9183
196	2249	9168
197	2258	9149
198	2268	9130
199	2278	9112
200	2289	9099
201	2300	9089
202	2311	9075
203	2323	9064
204	2334	9055
205	2347	9046
206	2358	9036
207	2370	9027
208	2381	9014
209	2392	9000
210	2404	8991
211	2417	8984
212	2428	8973
213	2439	8959
214	2449	8944
215	2459	8926
216	2470	8915
217	2481	8899
218	2492	8889
219	2502	8873
220	2512	8857
221	2522	8838
222	2532	8823
223	2541	8805
224	2551	8787
225	2561	8773
226	2571	8757
227	2581	8741
228	2592	8727
229	2601	8709
230	2612	8696
231	2621	8677
232	2631	8661
233	2642	8649
234	2651	8631
235	2662	8619
236	2672	8605
237	2683	8592
238	2693	8577
239	2703	8560
240	2712	8543
241	2722	8528
242	2732	8511
243	2742	8496
244	2752	8481
245	2762	8468
246	2773	8454
247	2782	8438
248	2792	8422
249	2802	8406
250	2812	8392
251	2822	8378
252	2832	8362
253	2842	8347
254	2851	8332
255	2862	8317
256	2873	8306
257	2883	8291
258	2893	8277
259	2904	8265
260	2913	8249
261	2923	8234
262	2932	8217
263	2943	8205
264	2954	8194
265	2963	8178
266	2973	8164
267	2983	8150
268	2994	8137
269	3004	8122
270	3013	8106
271	3023	8092
272	3033	8077
273	3042	8061
274	3052	8047
275	3061	8032
276	3072	8018
277	3082	8005
278	3093	7993
279	3103	7980
280	3114	7967
281	3123	7953
282	3133	7940
283	3143	7924
284	3153	7910
285	3162	7894
286	3171	7880
287	3182	7868
288	3192	7853
289	3202	7840
290	3212	7826
291	3222	7812
292	3231	7797
293	3241	7784
294	3251	7769
295	3261	7758
296	3272	7746
297	3282	7733
298	3292	7718
299	3302	7705
300	3312	7693
301	3323	7680
302	3332	7665
303	3343	7654
304	3354	7643
305	3363	7629
306	3374	7618
307	3386	7608
308	3397	7597
309	3408	7585
310	3418	7574
311	3428	7560
312	3439	7548
313	3450	7537
314	3460	7524
315	3470	7511
316	3479	7496
317	3491	7487
318	3502	7476
319	3511	7461
320	3521	7448
321	3530	7433
322	3540	7420
323	3550	7407
324	3559	7392
325	3568	7378
326	3578	7365
327	3590	7356
328	3600	7344
329	3610	7329
330	3620	7317
331	3629	7302
332	3639	7290
333	3650	7278
334	3659	7265
335	3670	7252
336	3680	7240
337	3690	7227
338	3700	7216
339	3710	7202
340	3720	7189
341	3730	7177
342	3740	7164
343	3750	7152
344	3762	7142
345	3771	7129
346	3782	7118
347	3792	7104
348	3802	7093
349	3812	7081
350	3821	7066
351	3831	7053
352	3841	7041
353	3852	7029
354	3862	7017
355	3871	7004
356	3881	6991
357	3891	6977
358	3902	6967
359	3912	6955
360	3922	6942
361	3931	6929
362	3941	6916
363	3950	6902
364	3961	6891
365	3971	6879
366	3981	6867
367	3991	6855
368	4000	6841
369	4011	6830
370	4021	6817
371	4031	6806
372	4042	6795
373	4052	6782
374	4062	6770
375	4072	6758
376	4082	6747
377	4093	6736
378	4103	6723
379	4114	6713
380	4124	6700
381	4133	6687
382	4143	6674
383	4152	6661
384	4162	6649
385	4172	6637
386	4182	6624
387	4192	6612
388	4201	6599
389	4213	6590
390	4224	6580
391	4234	6568
392	4244	6555
393	4255	6544
394	4264	6532
395	4274	6519
396	4283	6506
397	4293	6494
398	4303	6482
399	4312	6469
400	4323	6458
401	4333	6446
402	4343	6433
403	4353	6421
404	4363	6410
405	4374	6400
406	4386	6391
407	4395	6378
408	4406	6367
409	4417	6357
410	4428	6345
411	4438	6335
412	4449	6324
413	4458	6311
414	4469	6299
415	4478	6287
416	4488	6275
417	4499	6264
418	4508	6251
419	4519	6240
420	4528	6228
421	4538	6216
422	4549	6205
423	4559	6193
424	4569	6182
425	4579	6170
426	4589	6158
427	4598	6146
428	4608	6134
429	4620	6124
430	4631	6114
431	4642	6103
432	4653	6093
433	4663	6082
434	4673	6070
435	4683	6058
436	4693	6046
437	4703	6035
438	4713	6023
439	4725	6013
440	4735	6002
441	4746	5992
442	4758	5982
443	4769	5972
444	4780	5961
445	4791	5951
446	4803	5942
447	4816	5934
448	4827	5923
449	4837	5912
450	4847	5901
451	4857	5888
452	4866	5876
453	4877	5865
454	4890	5857
455	4908	5855
456	4924	5851
457	4936	5841
458	4947	5831
459	4960	5823
460	4971	5812
461	4983	5803
462	4997	5796
463	5010	5788
464	5022	5778
465	5034	5768
466	5045	5758
467	5056	5747
468	5068	5738
469	5079	5728
470	5089	5716
471	5100	5706
472	5111	5695
473	5120	5682
474	5132	5672
475	5141	5660
476	5151	5648
477	5163	5638
478	5173	5626
479	5183	5615
480	5193	5604
481	5203	5592
482	5214	5581
483	5225	5570
484	5235	5559
485	5246	5548
486	5256	5537
487	5266	5525
488	5276	5514
489	5286	5501
490	5296	5490
491	5307	5479
492	5316	5467
493	5326	5456
494	5338	5445
495	5348	5435
496	5359	5424
497	5371	5414
498	5382	5403
499	5392	5392
500	5402	5381
501	5412	5369
502	5423	5358
503	5433	5346
504	5443	5335
505	5453	5324
506	5464	5313
507	5476	5303
508	5486	5292
509	5496	5280
510	5506	5269
511	5516	5257
512	5526	5246
513	5537	5235
514	5546	5223
515	5557	5213
516	5567	5201
517	5577	5190
518	5588	5179
519	5597	5167
520	5608	5156
521	5619	5145
522	5628	5133
523	5639	5122
524	5649	5111
525	5659	5100
526	5670	5089
527	5679	5077
528	5690	5066
529	5700	5054
530	5709	5043
531	5720	5032
532	5730	5021
533	5740	5009
534	5750	4998
535	5760	4986
536	5771	4976
537	5782	4965
538	5791	4953
539	5802	4942
540	5812	4931
541	5822	4920
542	5833	4909
543	5842	4897
544	5853	4886
545	5863	4875
546	5875	4865
547	5887	4855
548	5898	4845
549	5907	4833
550	5917	4821
551	5928	4811
552	5937	4799
553	5947	4788
554	5957	4776
555	5968	4766
556	5979	4755
557	5988	4743
558	5999	4732
559	6008	4721
560	6018	4709
561	6029	4699
562	6039	4687
563	6050	4677
564	6062	4667
565	6073	4657
566	6085	4647
567	6095	4636
568	6107	4626
569	6120	4617
570	6136	4610
571	6155	4605
572	6168	4596
573	6181	4587
574	6193	4577
575	6204	4567
576	6223	4562
577	6236	4553
578	6248	4543
579	6259	4533
580	6270	4522
581	6281	4511
582	6293	4501
583	6304	4490
584	6315	4479
585	6328	4470
586	6339	4460
587	6352	4450
588	6362	4439
589	6374	4429
590	6384	4418
591	6395	4407
592	6407	4397
593	6418	4386
594	6428	4375
595	6438	4364
596	6449	4353
597	6459	4342
598	6470	4331
599	6480	4320
600	6491	4309
601	6501	4298
602	6511	4286
603	6521	4275
604	6531	4264
605	6542	4253
606	6552	4242
607	6561	4230
608	6573	4220
609	6584	4210
610	6595	4199
611	6607	4188
612	6618	4178
613	6628	4167
614	6639	4156
615	6650	4145
616	6659	4134
617	6670	4123
618	6681	4112
619	6693	4102
620	6705	4092
621	6715	4081
622	6725	4069
623	6736	4058
624	6746	4047
625	6756	4036
626	6767	4025
627	6778	4015
628	6788	4004
629	6801	3994
630	6812	3984
631	6823	3972
632	6833	3961
633	6844	3951
634	6854	3939
635	6864	3928
636	6875	3918
637	6885	3907
638	6897	3896
639	6906	3885
640	6917	3874
641	6928	3863
642	6938	3852
643	6948	3841
644	6959	3830
645	6969	3819
646	6979	3808
647	6991	3797
648	7001	3786
649	7013	3776
650	7024	3765
651	7034	3754
652	7045	3744
653	7056	3733
654	7066	3722
655	7077	3711
656	7087	3700
657	7097	3689
658	7109	3678
659	7119	3667
660	7130	3657
661	7141	3646
662	7151	3635
663	7161	3624
664	7172	3613
665	7182	3601
666	7192	3590
667	7202	3579
668	7211	3568
669	7222	3557
670	7234	3547
671	7244	3536
672	7254	3524
673	7265	3514
674	7274	3502
675	7285	3491
676	7295	3480
677	7305	3469
678	7317	3459
679	7329	3449
680	7339	3437
681	7349	3427
682	7360	3416
683	7372	3405
684	7382	3395
685	7393	3384
686	7403	3372
687	7413	3362
688	7423	3350
689	7435	3340
690	7445	3329
691	7455	3318
692	7466	3307
693	7477	3296
694	7487	3285
695	7497	3274
696	7507	3263
697	7517	3252
698	7528	3241
699	7538	3230
700	7549	3220
701	7559	3209
702	7568	3197
703	7578	3186
704	7588	3175
705	7597	3163
706	7608	3153
707	7617	3141
708	7629	3131
709	7640	3120
710	7650	3109
711	7661	3098
712	7671	3087
713	7681	3076
714	7691	3065
715	7700	3054
716	7710	3043
717	7719	3032
718	7729	3020
719	7740	3010
720	7751	2999
721	7762	2988
722	7772	2977
723	7781	2966
724	7792	2955
725	7801	2944
726	7811	2933
727	7821	2922
728	7830	2910
729	7841	2900
730	7851	2889
731	7861	2878
732	7871	2867
733	7881	2856
734	7890	2845
735	7901	2834
736	7910	2822
737	7920	2812
738	7930	2801
739	7942	2790
740	7952	2779
741	7962	2768
742	7972	2757
743	7982	2746
744	7992	2735
745	8002	2724
746	8011	2713
747	8021	2702
748	8032	2691
749	8043	2681
750	8054	2670
751	8064	2659
752	8073	2648
753	8083	2637
754	8094	2626
755	8104	2615
756	8114	2604
757	8123	2593
758	8134	2582
759	8143	2571
760	8155	2561
761	8166	2550
762	8175	2539
763	8186	2528
764	8197	2518
765	8207	2507
766	8217	2496
767	8227	2485
768	8237	2474
769	8248	2463
770	8257	2452
771	8269	2442
772	8280	2431
773	8291	2420
774	8301	2410
775	8312	2399
776	8322	2388
777	8333	2377
778	8344	2367
779	8355	2356
780	8367	2346
781	8378	2335
782	8387	2324
783	8398	2313
784	8408	2302
785	8417	2291
786	8428	2281
787	8438	2270
788	8450	2259
789	8460	2249
790	8470	2238
791	8481	2227
792	8491	2216
793	8500	2205
794	8510	2194
795	8520	2183
796	8530	2172
797	8540	2161
798	8549	2150
799	8559	2139
800	8571	2129
801	8581	2118
802	8591	2107
803	8601	2096
804	8610	2085
805	8620	2074
806	8631	2064
807	8640	2053
808	8650	2042
809	8661	2031
810	8671	2020
811	8681	2009
812	8690	1998
813	8699	1987
814	8710	1977
815	8720	1966
816	8732	1955
817	8743	1945
818	8754	1934
819	8766	1924
820	8777	1913
821	8788	1903
822	8800	1892
823	8811	1882
824	8823	1871
825	8835	1861
826	8846	1850
827	8855	1839
828	8864	1828
829	8875	1817
830	8885	1806
831	8894	1796
832	8904	1785
833	8914	1774
834	8924	1763
835	8934	1752
836	8943	1741
837	8953	1730
838	8963	1720
839	8974	1709
840	8984	1698
841	8994	1687
842	9005	1677
843	9015	1666
844	9025	1655
845	9035	1644
846	9045	1633
847	9055	1623
848	9064	1612
849	9076	1601
850	9086	1590
851	9095	1579
852	9105	1569
853	9114	1558
854	9124	1547
855	9134	1536
856	9144	1525
857	9154	1515
858	9164	1504
859	9175	1493
860	9186	1482
861	9195	1472
862	9205	1461
863	9214	1450
864	9227	1440
865	9237	1429
866	9247	1418
867	9257	1407
868	9267	1397
869	9278	1386
870	9289	1375
871	9300	1365
872	9310	1354
873	9320	1343
874	9330	1332
875	9340	1322
876	9351	1311
877	9361	1300
878	9371	1290
879	9381	1279
880	9391	1268
881	9400	1257
882	9410	1246
883	9420	1236
884	9429	1225
885	9439	1214
886	9449	1203
887	9458	1193
888	9468	1182
889	9478	1171
890	9488	1160
891	9498	1150
892	9507	1139
893	9517	1128
894	9527	1117
895	9536	1106
896	9547	1096
897	9557	1085
898	9567	1074
899	9577	1064
900	9586	1053
901	9597	1042
902	9606	1031
903	9616	1021
904	9628	1010
905	9638	999
906	9648	989
907	9658	978
908	9667	967
909	9677	957
910	9687	946
911	9698	935
912	9708	925
913	9717	914
914	9727	903
915	9736	892
916	9746	882
917	9756	871
918	9767	860
919	9776	850
920	9786	839
921	9797	828
922	9807	818
923	9816	807
924	9826	796
925	9836	786
926	9846	775
927	9858	764
928	9871	754
929	9884	743
930	9896	733
931	9910	723
932	9923	712
933	9935	702
934	9947	691
935	9958	680
936	9969	670
937	9979	659
938	9989	648
939	9999	638
940	10010	627
941	10022	617
942	10032	606
943	10042	595
944	10054	585
945	10063	574
946	10074	563
947	10084	553
948	10093	542
949	10105	531
950	10115	521
951	10124	510
952	10135	499
953	10144	489
954	10154	478
955	10164	467
956	10174	457
957	10184	446
958	10194	435
959	10205	425
960	10215	414
961	10224	403
962	10234	393
963	10243	382
964	10254	371
965	10265	361
966	10275	350
967	10286	340
968	10296	329
969	10306	318
970	10317	308
971	10327	297
972	10337	286
973	10347	276
974	10357	265
975	10367	254
976	10377	244
977	10386	233
978	10396	223
979	10405	212
980	10417	201
981	10428	191
982	10439	180
983	10448	169
984	10459	159
985	10468	148
986	10479	138
987	10488	127
988	10498	116
989	10507	106
990	10518	95
991	10528	84
992	10537	74
993	10550	63
994	10563	53
995	10576	42
996	10588	31
997	10601	21
998	10614	10
999	10627	0
